,CourseFull,mean,std
164,ADV 498: The Sandage Project,3.829192982456141,0.2875481005435311
165,BADM 394: Senior Research,3.981388888888889,0.11010481818546507
166,HIST 212: History of Eastern Africa,2.984352941176471,1.105882077596962
167,BADM 543: Technology Strategy,3.563234100135318,0.41300963187626316
168,RLST 214: Introduction to Islam,3.3003536977491965,0.7740640258114689
169,"SOC 426/EPS 422: Race, Ed Pol, and Soc Science",3.8754166666666663,0.211127512155306
170,MATH 403: Euclidean Geometry,3.0795348837209304,0.9238882784778186
171,GEOG 489: Programming for GIS,3.6850000000000005,0.7433071744276087
172,HORT 301: Woody Landscape Plants I,2.8045222929936306,0.9931167216150527
173,CEE 498: Energy Water Sustainability,3.790518518518518,0.3215801691843264
174,HRE 401: Training in Business/Industry,3.398531746031746,0.7810492453074671
175,CS 357/MATH 357: Numerical Methods I,3.101429362880886,0.9850898348759182
176,BIOE 303: Quantitative Physiology Lab,3.7920481927710843,0.3607188573709434
177,PS 222: Ethics and Public Policy,3.0112903225806447,0.8281040994849421
178,BADM 590: Sustainability,3.852980769230769,0.37767731395508963
179,ECON 504: Time Series Analysis in Econ,3.719313725490196,0.40912690347243635
180,STAT 200: Statistical Analysis,3.437566525968067,0.8212994698997073
181,CHIN 242: Chinese Reading and Writing,2.62,1.1287709287201764
182,BADM 359: Bus Prob Form and Soln,3.871294117647058,0.1982617891178768
183,MACS 361: Film Theory and Criticism,3.4338636363636366,0.4998373185760766
184,CMN 396: Media Communication,2.691923076923077,1.2466910641644366
185,PS 300: Immigration,3.303181818181818,0.6960236827451698
186,GEOG 210/ESE 210: Contemp Social & Env Problems,3.1134623217922606,0.8834330761907478
187,ASRM 472: Life Contingencies II,3.2012871287128712,0.8827496010484296
188,ENGL 251: The American Novel Since 1914,3.320956284153005,0.7040165122034034
189,IS 351: Design Info Interfaces,3.6045833333333337,0.49785773709854997
190,GLBL 296: Global Politics of African...,3.189130434782609,0.7727754218089398
191,CHEM 199: Undergraduate Open Seminar,3.9275374399547895,0.37018197673542586
